car_id,model,year,engine_size,horsepower,fuel_type,transmission,drivetrain,mileage_km,fuel_consumption_l_per_100km,co2_emissions_g_km,price_usd,doors,seats,body_type,color,owner_count,accident_history,service_history,country_sold
1,X5,2016,4,272,diesel,automatic,AWD,74655,8.9,196,66756,5,5,suv,white,2,no,partial,Netherlands
2,1 Series,2022,2.6,218,petrol,automatic,FWD,23469,8.4,190,26867,3,4,hatchback,black,1,no,partial,France
3,X1,2012,2.2,240,petrol,automatic,FWD,123273,7.8,174,31313,5,5,suv,white,3,no,full,Netherlands
4,X5,2022,3.8,316,diesel,,AWD,33064,9.4,192,81594,5,5,suv,blue,1,no,,France
5,7 Series,2023,3.1,294,petrol,automatic,RWD,23926,,204,104105,4,5,sedan,white,1,no,full,Spain
6,X1,2010,1.9,190,diesel,automatic,AWD,182375,5.7,112,18615,5,5,suv,black,5,no,partial,France
7,5 Series,2008,4.2,383,petrol,automatic,AWD,274131,10.7,222,27173,4,5,sedan,blue,4,yes,partial,USA
8,1 Series,2017,1.7,230,petrol,automatic,RWD,73728,7.3,148,22374,5,5,hatchback,black,4,no,partial,Germany
9,X1,2013,1.8,171,petrol,automatic,AWD,170822,7.6,166,24335,5,5,suv,silver,2,no,full,France
10,i3,2012,0,156,electric,automatic,RWD,166379,0,0,19182,5,4,hatchback,,4,yes,none,Spain
11,1 Series,2016,3,276,petrol,automatic,RWD,145961,9.4,,14587,5,4,hatchback,black,3,yes,none,UK
12,3 Series,2019,2,169,hybrid,automatic,AWD,66059,4.6,104,37881,4,5,sedan,black,1,no,full,UK
13,X5,2021,3.2,267,diesel,automatic,AWD,52609,8.4,197,76525,5,5,suv,white,2,yes,full,USA
14,X3,2024,3.2,233,diesel,automatic,AWD,14470,,164,62303,5,5,suv,black,0,no,partial,Netherlands
15,X3,2023,2.4,183,petrol,,RWD,32107,9.9,,54498,5,5,suv,silver,0,no,full,Turkey
16,3 Series,2005,1.7,187,petrol,manual,RWD,300000,,168,8229,4,5,sedan,red,5,yes,full,Italy
17,1 Series,2015,1.7,221,hybrid,manual,FWD,133510,4.8,110,16746,3,5,hatchback,blue,3,no,partial,Spain
18,5 Series,2019,2.6,229,petrol,automatic,RWD,103108,7.8,179,49589,4,5,sedan,white,2,no,full,France
19,X1,2022,2.3,211,diesel,automatic,AWD,22229,7.4,152,36065,5,5,suv,silver,2,yes,full,Spain
20,i4,2022,0,461,electric,automatic,RWD,27350,0,0,93406,4,5,coupe,grey,1,no,full,Italy
21,X5,2022,3.7,247,diesel,automatic,AWD,31770,7.9,187,81968,5,5,suv,silver,,no,full,Spain
22,5 Series,2010,2.4,263,diesel,automatic,AWD,219901,,144,26161,4,5,sedan,blue,3,,none,France
23,X3,2009,3,274,diesel,automatic,AWD,294167,7.3,146,25674,5,5,suv,white,3,no,partial,Italy
24,3 Series,2024,2.9,268,petrol,manual,AWD,0,9,200,46422,4,5,sedan,black,1,no,full,Turkey
25,3 Series,2023,3.1,267,petrol,automatic,RWD,35833,9.3,217,49093,4,5,sedan,silver,1,no,full,Germany
26,1 Series,2019,1.6,167,petrol,automatic,RWD,54980,,142,18388,3,5,hatchback,,2,yes,none,Netherlands
27,i4,2010,0,330,electric,automatic,AWD,300000,,0,31781,4,5,coupe,black,3,yes,partial,France
28,3 Series,2019,1.7,169,diesel,automatic,RWD,88339,6.3,135,32413,4,5,sedan,silver,2,no,partial,UK
